district,deposits
Grand Total,25005643.97
nan,24211127.679999977
DHAKA Total,13017043.750000002
CHATTOGRAM Total,3431209.97
SYLHET Total,603875.48
CUMILLA Total,553094.9800000001
NARAYANGANJ Total,504000.2
GAZIPUR Total,462892.02999999997
KHULNA Total,331161.99
NOAKHALI Total,274530.73000000004
TANGAIL Total,247072.03999999998
BRAHMANBARIA Total,246684.53
RAJSHAHI Total,230367.06000000003
FENI Total,223770.19
MYMENSINGH Total,218299.69000000003
NARSHINGDI Total,217033.12999999998
JASHORE Total,204307.72999999998
BOGURA Total,203582.00000000006
CHANDPUR Total,202536.86000000002
BARISHAL Total,199176.97000000003
COX'S BAZAR Total,190977.42999999996
MOULVIBAZAR Total,187800.57
MUNSHIGANJ Total,170445.13
PABNA Total,152898.31
FARIDPUR Total,149961.96000000002
SIRAJGANJ Total,142469.46999999997
LAKSHMIPUR Total,137369.78000000003
DINAJPUR Total,132410.58000000002
KISHOREGANJ Total,132147.49
RANGPUR Total,130886.32999999999
KUSHTIA Total,123586.05
NAOGAON Total,105198.87999999998
MADARIPUR Total,102054.1
MANIKGANJ Total,101484.3
HABIGANJ Total,100572.92000000003
SATKHIRA Total,99783.21999999999
SHARIATPUR Total,83351.09999999999
JAMALPUR Total,82059.52
BAGERHAT Total,79814.47
SUNAMGANJ Total,78839.62
NOAKHALI,73964.87
DHAKA,73286.83
JHENAIDAH Total,72935.06999999999
BHOLA Total,72105.98
GOPALGANJ Total,69311.25999999998
PATUAKHALI Total,68760.06000000001
PIROJPUR Total,66101.29
NATORE Total,64806.33
CHAPAINAWABGANJ Total,63433.380000000005
CHANDPUR,63388.33
NILPHAMARI Total,54006.20000000001
GAIBANDAH Total,52499.84
CHUADANGA Total,50374.23
RAJBARI Total,48588.92
NETROKONA Total,47199.200000000004
MAGURA Total,37708.259999999995
JHALOKATHI Total,37417.630000000005
THAKURGAON Total,37296.329999999994
KURIGRAM Total,36611.17999999999
GOPALGANJ,35991.96
NARAIL Total,35958.71
JAYPURHAT Total,35504.35
SHERPUR Total,33603.340000000004
BARGUNA Total,32005.529999999995
BHOLA,31722.54
COX'S BAZAR,31349.089999999997
RANGAMATI Total,30746.890000000003
FENI,27284.239999999998
NARAYANGANJ,26386.480000000003
MAGURA,25661.080000000005
MYMENSINGH,25328.22
MEHERPUR Total,25126.199999999997
BAGERHAT,24446.12
JHALOKATHI,23402.72
LALMONIRHAT Total,22820.109999999997
MOULVIBAZAR,21604.86
PANCHAGARH Total,21571.670000000002
JASHORE,21091.609999999997
GAZIPUR,19745.940000000002
KHAGRACHARI Total,18841.24
LAKSHMIPUR,18655.48
BRAHMANBARIA,17027.37
SIRAJGANJ,16709.05
BANDARBAN Total,15560.119999999999
MUNSHIGANJ,12246.7
KUSHTIA,10939.900000000001
PIROJPUR,10491.239999999998
PATUAKHALI,10204.33
CHUADANGA,10032.869999999999
SHARIATPUR,9941.04
CHATTOGRAM,9302.130000000001
SYLHET,8913.560000000001
DINAJPUR,8440.580000000002
MADARIPUR,7979.72
TANGAIL,7805.169999999999
BOGURA,7327.330000000001
MEHERPUR,7271.5199999999995
NARAIL,6374.620000000001
NATORE,5172.62
NARSHINGDI,5128.75
BARISHAL,4634.0
KHULNA,4535.889999999999
SATKHIRA,4455.81
NAOGAON,4391.69
FARIDPUR,4317.54
RANGPUR,4200.73
JAMALPUR,4175.59
BARGUNA,4166.65
JAYPURHAT,4124.69
KURIGRAM,4084.03
RAJBARI,4068.52
MANIKGANJ,2757.9300000000003
HABIGANJ,2541.6200000000003
NILPHAMARI,2452.65
JHENAIDAH,2395.7500000000005
CUMILLA,2295.0599999999995
PANCHAGARH,2086.03
KISHOREGANJ,1900.81
THAKURGAON,1821.86
LALMONIRHAT,1800.23
SHERPUR,1679.6200000000001
PABNA,1640.72
NETROKONA,1463.7300000000002
CHAPAINAWABGANJ,1378.06
GAIBANDAH,1333.24
KHAGRACHARI,1297.8800000000003
RANGAMATI,1129.1299999999999
RAJSHAHI,1043.1100000000001
SUNAMGANJ,1012.0300000000001
BANDARBAN,713.15
